"","wojewodztwo","powiat_miasto","liczba_przypadkow","liczba_na_10_tys_mieszkancow","zgony","zgony_w_wyniku_covid_bez_chorob_wspolistniejacych","zgony_w_wyniku_covid_i_chorob_wspolistniejacych","liczba_zlecen_poz","liczba_ozdrowiencow","liczba_osob_objetych_kwarantanna","liczba_wykonanych_testow","liczba_testow_z_wynikiem_pozytywnym","liczba_testow_z_wynikiem_negatywnym","liczba_pozostalych_testow","teryt","stan_rekordu_na"
"1","Ca³y kraj","Ca³y kraj",2525,0.66,37,14,23,479,9103,141992,31030,2860,27896,274,"t0000","2021-05-02"
"2","dolnoœl¹skie","boles³awiecki",2,0.22,0,0,0,0,32,518,44,3,41,0,"t0201","2021-05-02"
"3","dolnoœl¹skie","dzier¿oniowski",3,0.3,0,0,0,0,51,371,20,3,15,2,"t0202","2021-05-02"
"4","dolnoœl¹skie","g³ogowski",10,1.13,0,0,0,0,31,471,60,11,49,0,"t0203","2021-05-02"
"5","dolnoœl¹skie","górowski",1,0.29,0,0,0,0,11,168,27,1,26,0,"t0204","2021-05-02"
"6","dolnoœl¹skie","jaworski",7,1.4,0,0,0,0,15,224,31,7,24,0,"t0205","2021-05-02"
"7","dolnoœl¹skie","jeleniogórski",4,0.63,0,0,0,0,22,237,40,5,35,0,"t0206","2021-05-02"
"8","dolnoœl¹skie","kamiennogórski",1,0.23,0,0,0,0,3,87,21,1,20,0,"t0207","2021-05-02"
"9","dolnoœl¹skie","k³odzki",21,1.34,0,0,0,0,29,311,129,31,98,0,"t0208","2021-05-02"
"10","dolnoœl¹skie","legnicki",5,0.91,0,0,0,1,7,360,44,5,37,2,"t0209","2021-05-02"
"11","dolnoœl¹skie","lubañski",9,1.66,0,0,0,0,17,294,34,10,23,1,"t0210","2021-05-02"
"12","dolnoœl¹skie","lubiñski",9,0.85,0,0,0,0,50,508,95,12,81,2,"t0211","2021-05-02"
"13","dolnoœl¹skie","lwówecki",4,0.87,0,0,0,2,10,223,22,4,18,0,"t0212","2021-05-02"
"14","dolnoœl¹skie","milicki",0,0,0,0,0,2,7,106,14,0,14,0,"t0213","2021-05-02"
"15","dolnoœl¹skie","oleœnicki",1,0.09,0,0,0,0,43,482,75,5,70,0,"t0214","2021-05-02"
"16","dolnoœl¹skie","o³awski",2,0.26,0,0,0,1,11,483,44,2,42,0,"t0215","2021-05-02"
"17","dolnoœl¹skie","polkowicki",3,0.48,0,0,0,0,25,473,33,3,30,0,"t0216","2021-05-02"
"18","dolnoœl¹skie","strzeliñski",2,0.46,0,0,0,0,4,178,20,3,17,0,"t0217","2021-05-02"
"19","dolnoœl¹skie","œredzki",2,0.36,0,0,0,2,32,344,23,2,21,0,"t0218","2021-05-02"
"20","dolnoœl¹skie","œwidnicki",7,0.45,0,0,0,2,49,751,35,7,28,0,"t0219","2021-05-02"
"21","dolnoœl¹skie","trzebnicki",3,0.35,0,0,0,1,25,398,58,4,54,0,"t0220","2021-05-02"
"22","dolnoœl¹skie","wa³brzyski",4,0.72,0,0,0,0,5,134,23,5,18,0,"t0221","2021-05-02"
"23","dolnoœl¹skie","wo³owski",8,1.71,0,0,0,0,15,269,38,8,30,0,"t0222","2021-05-02"
"24","dolnoœl¹skie","wroc³awski",18,1.17,0,0,0,2,52,1086,125,18,107,0,"t0223","2021-05-02"
"25","dolnoœl¹skie","z¹bkowicki",7,1.09,0,0,0,0,39,282,37,7,29,1,"t0224","2021-05-02"
"26","dolnoœl¹skie","zgorzelecki",5,0.56,0,0,0,0,34,463,33,6,27,0,"t0225","2021-05-02"
"27","dolnoœl¹skie","z³otoryjski",2,0.46,0,0,0,0,19,310,17,3,14,0,"t0226","2021-05-02"
"28","dolnoœl¹skie","Jelenia Góra",5,0.63,0,0,0,0,16,309,66,6,60,0,"t0261","2021-05-02"
"29","dolnoœl¹skie","Legnica",6,0.61,0,0,0,3,11,594,115,8,106,1,"t0262","2021-05-02"
"30","dolnoœl¹skie","Wroc³aw",63,0.98,0,0,0,3,213,3028,539,69,466,4,"t0264","2021-05-02"
"31","dolnoœl¹skie","Wa³brzych",9,0.81,1,1,0,0,22,383,61,10,51,0,"t0265","2021-05-02"
"32","kujawsko-pomorskie","aleksandrowski",2,0.36,0,0,0,0,5,74,36,2,34,0,"t0401","2021-05-02"
"33","kujawsko-pomorskie","brodnicki",6,0.76,0,0,0,0,5,236,46,6,40,0,"t0402","2021-05-02"
"34","kujawsko-pomorskie","bydgoski",5,0.42,0,0,0,11,21,496,63,5,58,0,"t0403","2021-05-02"
"35","kujawsko-pomorskie","che³miñski",5,0.96,0,0,0,2,6,138,30,5,25,0,"t0404","2021-05-02"
"36","kujawsko-pomorskie","golubsko-dobrzyñski",1,0.22,0,0,0,0,1,63,22,1,21,0,"t0405","2021-05-02"
"37","kujawsko-pomorskie","grudzi¹dzki",0,0,0,0,0,1,5,114,15,0,15,0,"t0406","2021-05-02"
"38","kujawsko-pomorskie","inowroc³awski",5,0.31,1,0,1,0,33,351,68,5,61,2,"t0407","2021-05-02"
"39","kujawsko-pomorskie","lipnowski",9,1.37,0,0,0,1,8,219,56,9,46,1,"t0408","2021-05-02"
"40","kujawsko-pomorskie","mogileñski",2,0.44,0,0,0,4,13,213,24,2,21,1,"t0409","2021-05-02"
"41","kujawsko-pomorskie","nakielski",8,0.93,0,0,0,1,24,345,47,9,38,0,"t0410","2021-05-02"
"42","kujawsko-pomorskie","radziejowski",3,0.75,0,0,0,0,8,151,27,3,24,0,"t0411","2021-05-02"
"43","kujawsko-pomorskie","rypiñski",1,0.23,0,0,0,0,8,123,60,1,57,2,"t0412","2021-05-02"
"44","kujawsko-pomorskie","sêpoleñski",3,0.73,0,0,0,4,7,210,24,4,20,0,"t0413","2021-05-02"
"45","kujawsko-pomorskie","œwiecki",3,0.3,0,0,0,0,13,336,65,4,61,0,"t0414","2021-05-02"
"46","kujawsko-pomorskie","toruñski",1,0.09,1,0,1,3,18,335,41,1,39,1,"t0415","2021-05-02"
"47","kujawsko-pomorskie","tucholski",10,2.07,0,0,0,0,17,243,30,10,20,0,"t0416","2021-05-02"
"48","kujawsko-pomorskie","w¹brzeski",1,0.29,0,0,0,0,2,86,13,1,12,0,"t0417","2021-05-02"
"49","kujawsko-pomorskie","w³oc³awski",4,0.47,1,0,1,0,12,246,40,4,36,0,"t0418","2021-05-02"
"50","kujawsko-pomorskie","¿niñski",9,1.28,0,0,0,2,16,311,52,10,41,1,"t0419","2021-05-02"
"51","kujawsko-pomorskie","Bydgoszcz",35,1.01,0,0,0,23,98,1221,271,35,234,2,"t0461","2021-05-02"
"52","kujawsko-pomorskie","Grudzi¹dz",7,0.74,1,1,0,0,12,331,44,8,36,0,"t0462","2021-05-02"
"53","kujawsko-pomorskie","Toruñ",5,0.25,0,0,0,4,30,505,82,5,77,0,"t0463","2021-05-02"
"54","kujawsko-pomorskie","W³oc³awek",5,0.46,0,0,0,0,17,313,73,6,67,0,"t0464","2021-05-02"
"55","lubelskie","bialski",4,0.36,0,0,0,1,28,323,44,5,39,0,"t0601","2021-05-02"
"56","lubelskie","bi³gorajski",2,0.2,0,0,0,0,15,284,44,2,42,0,"t0602","2021-05-02"
"57","lubelskie","che³mski",0,0,0,0,0,0,15,267,28,0,28,0,"t0603","2021-05-02"
"58","lubelskie","hrubieszowski",1,0.16,0,0,0,6,19,281,39,1,38,0,"t0604","2021-05-02"
"59","lubelskie","janowski",0,0,0,0,0,0,8,124,26,0,26,0,"t0605","2021-05-02"
"60","lubelskie","krasnostawski",3,0.48,0,0,0,0,7,226,26,4,22,0,"t0606","2021-05-02"
"61","lubelskie","kraœnicki",4,0.42,0,0,0,0,16,130,31,5,26,0,"t0607","2021-05-02"
"62","lubelskie","lubartowski",1,0.11,0,0,0,7,14,427,21,1,20,0,"t0608","2021-05-02"
"63","lubelskie","lubelski",14,0.9,0,0,0,0,30,652,95,14,79,2,"t0609","2021-05-02"
"64","lubelskie","³êczyñski",4,0.7,0,0,0,1,6,138,45,6,39,0,"t0610","2021-05-02"
"65","lubelskie","³ukowski",1,0.09,0,0,0,0,11,221,29,2,27,0,"t0611","2021-05-02"
"66","lubelskie","opolski",1,0.17,0,0,0,1,10,148,18,1,17,0,"t0612","2021-05-02"
"67","lubelskie","parczewski",2,0.58,0,0,0,0,6,78,17,2,15,0,"t0613","2021-05-02"
"68","lubelskie","pu³awski",7,0.62,0,0,0,0,31,552,99,7,92,0,"t0614","2021-05-02"
"69","lubelskie","radzyñski",2,0.34,0,0,0,0,7,197,22,2,20,0,"t0615","2021-05-02"
"70","lubelskie","rycki",1,0.18,0,0,0,0,12,165,22,1,21,0,"t0616","2021-05-02"
"71","lubelskie","œwidnicki",10,1.39,0,0,0,5,17,325,46,10,36,0,"t0617","2021-05-02"
"72","lubelskie","tomaszowski",1,0.12,0,0,0,1,21,245,23,1,22,0,"t0618","2021-05-02"
"73","lubelskie","w³odawski",0,0,0,0,0,1,2,110,8,0,8,0,"t0619","2021-05-02"
"74","lubelskie","zamojski",3,0.28,0,0,0,0,18,336,52,3,48,1,"t0620","2021-05-02"
"75","lubelskie","Bia³a Podlaska",2,0.35,0,0,0,0,17,153,33,2,31,0,"t0661","2021-05-02"
"76","lubelskie","Che³m",3,0.49,0,0,0,0,9,283,22,5,17,0,"t0662","2021-05-02"
"77","lubelskie","Lublin",19,0.56,0,0,0,11,58,1171,251,20,229,2,"t0663","2021-05-02"
"78","lubelskie","Zamoœæ",2,0.32,0,0,0,0,17,128,31,2,28,1,"t0664","2021-05-02"
"79","lubuskie","gorzowski",5,0.69,0,0,0,1,9,239,35,5,30,0,"t0801","2021-05-02"
"80","lubuskie","kroœnieñski",0,0,0,0,0,0,22,245,35,0,35,0,"t0802","2021-05-02"
"81","lubuskie","miêdzyrzecki",2,0.35,0,0,0,2,19,195,67,2,65,0,"t0803","2021-05-02"
"82","lubuskie","nowosolski",1,0.12,0,0,0,0,19,294,77,3,74,0,"t0804","2021-05-02"
"83","lubuskie","s³ubicki",6,1.28,0,0,0,0,7,194,70,9,61,0,"t0805","2021-05-02"
"84","lubuskie","strzelecko-drezdenecki",0,0,0,0,0,1,4,125,29,0,29,0,"t0806","2021-05-02"
"85","lubuskie","sulêciñski",1,0.28,0,0,0,0,8,139,35,3,30,2,"t0807","2021-05-02"
"86","lubuskie","œwiebodziñski",0,0,0,0,0,1,2,301,30,0,30,0,"t0808","2021-05-02"
"87","lubuskie","zielonogórski",3,0.4,0,0,0,0,8,203,31,3,28,0,"t0809","2021-05-02"
"88","lubuskie","¿agañski",5,0.64,0,0,0,0,31,372,88,7,81,0,"t0810","2021-05-02"
"89","lubuskie","¿arski",3,0.31,0,0,0,1,25,309,153,7,145,1,"t0811","2021-05-02"
"90","lubuskie","wschowski",1,0.26,0,0,0,0,8,132,37,1,36,0,"t0812","2021-05-02"
"91","lubuskie","Gorzów Wielkopolski",0,0,0,0,0,1,22,312,47,1,45,1,"t0861","2021-05-02"
"92","lubuskie","Zielona Góra",8,0.57,0,0,0,0,35,442,106,8,98,0,"t0862","2021-05-02"
"93","³ódzkie","be³chatowski",6,0.53,0,0,0,3,32,299,62,9,53,0,"t1001","2021-05-02"
"94","³ódzkie","kutnowski",12,1.25,2,1,1,0,22,267,45,12,33,0,"t1002","2021-05-02"
"95","³ódzkie","³aski",2,0.4,0,0,0,0,7,176,40,3,36,1,"t1003","2021-05-02"
"96","³ódzkie","³êczycki",6,1.21,0,0,0,0,12,183,35,6,26,3,"t1004","2021-05-02"
"97","³ódzkie","³owicki",3,0.39,0,0,0,0,18,287,53,4,48,1,"t1005","2021-05-02"
"98","³ódzkie","³ódzki wschodni",7,0.97,0,0,0,1,26,393,59,7,52,0,"t1006","2021-05-02"
"99","³ódzkie","opoczyñski",2,0.26,0,0,0,0,14,268,35,3,32,0,"t1007","2021-05-02"
"100","³ódzkie","pabianicki",13,1.09,0,0,0,2,37,525,103,13,89,1,"t1008","2021-05-02"
"101","³ódzkie","pajêczañski",1,0.2,0,0,0,1,12,231,20,1,19,0,"t1009","2021-05-02"
"102","³ódzkie","piotrkowski",11,1.2,0,0,0,2,12,306,74,13,61,0,"t1010","2021-05-02"
"103","³ódzkie","poddêbicki",4,0.97,0,0,0,0,3,194,20,4,16,0,"t1011","2021-05-02"
"104","³ódzkie","radomszczañski",6,0.53,0,0,0,2,32,542,74,8,65,1,"t1012","2021-05-02"
"105","³ódzkie","rawski",4,0.82,0,0,0,0,6,167,27,4,23,0,"t1013","2021-05-02"
"106","³ódzkie","sieradzki",11,0.94,0,0,0,3,50,620,84,11,73,0,"t1014","2021-05-02"
"107","³ódzkie","skierniewicki",2,0.52,0,0,0,0,4,120,16,2,13,1,"t1015","2021-05-02"
"108","³ódzkie","tomaszowski",13,1.12,0,0,0,1,26,375,85,14,71,0,"t1016","2021-05-02"
"109","³ódzkie","wieluñski",11,1.45,0,0,0,0,29,330,51,17,34,0,"t1017","2021-05-02"
"110","³ódzkie","wieruszowski",1,0.24,0,0,0,0,6,165,7,2,4,1,"t1018","2021-05-02"
"111","³ódzkie","zduñskowolski",7,1.06,0,0,0,1,15,295,51,8,43,0,"t1019","2021-05-02"
"112","³ódzkie","zgierski",22,1.32,0,0,0,5,42,764,155,26,128,1,"t1020","2021-05-02"
"113","³ódzkie","brzeziñski",3,0.97,0,0,0,1,17,173,28,4,23,1,"t1021","2021-05-02"
"114","³ódzkie","£ódŸ",87,1.28,0,0,0,28,243,3120,801,99,699,3,"t1061","2021-05-02"
"115","³ódzkie","Piotrków Trybunalski",4,0.55,0,0,0,0,7,205,35,5,30,0,"t1062","2021-05-02"
"116","³ódzkie","Skierniewice",1,0.21,0,0,0,0,6,111,23,1,22,0,"t1063","2021-05-02"
"117","ma³opolskie","bocheñski",6,0.56,0,0,0,0,28,330,138,11,127,0,"t1201","2021-05-02"
"118","ma³opolskie","brzeski",3,0.32,0,0,0,0,14,252,174,4,170,0,"t1202","2021-05-02"
"119","ma³opolskie","chrzanowski",18,1.45,0,0,0,1,35,511,98,19,78,1,"t1203","2021-05-02"
"120","ma³opolskie","d¹browski",1,0.17,0,0,0,1,16,258,30,1,29,0,"t1204","2021-05-02"
"121","ma³opolskie","gorlicki",5,0.46,0,0,0,0,32,449,133,6,126,1,"t1205","2021-05-02"
"122","ma³opolskie","krakowski",15,0.53,0,0,0,0,99,1269,238,17,217,4,"t1206","2021-05-02"
"123","ma³opolskie","limanowski",4,0.3,0,0,0,1,9,247,161,5,155,1,"t1207","2021-05-02"
"124","ma³opolskie","miechowski",4,0.82,0,0,0,0,14,235,26,6,19,1,"t1208","2021-05-02"
"125","ma³opolskie","myœlenicki",5,0.39,0,0,0,1,23,354,90,5,83,2,"t1209","2021-05-02"
"126","ma³opolskie","nowos¹decki",7,0.32,3,1,2,3,39,482,246,12,234,0,"t1210","2021-05-02"
"127","ma³opolskie","nowotarski",12,0.63,0,0,0,0,24,364,195,12,182,1,"t1211","2021-05-02"
"128","ma³opolskie","olkuski",15,1.35,0,0,0,2,17,523,82,16,66,0,"t1212","2021-05-02"
"129","ma³opolskie","oœwiêcimski",16,1.04,0,0,0,1,42,506,117,18,94,5,"t1213","2021-05-02"
"130","ma³opolskie","proszowicki",8,1.85,0,0,0,0,13,210,42,9,32,1,"t1214","2021-05-02"
"131","ma³opolskie","suski",10,1.19,0,0,0,0,19,388,107,10,97,0,"t1215","2021-05-02"
"132","ma³opolskie","tarnowski",12,0.6,0,0,0,1,25,623,252,13,238,1,"t1216","2021-05-02"
"133","ma³opolskie","tatrzañski",5,0.73,0,0,0,0,16,146,87,5,81,1,"t1217","2021-05-02"
"134","ma³opolskie","wadowicki",7,0.44,0,0,0,1,20,460,94,9,82,3,"t1218","2021-05-02"
"135","ma³opolskie","wielicki",18,1.38,4,2,2,0,44,623,135,19,113,3,"t1219","2021-05-02"
"136","ma³opolskie","Kraków",41,0.52,1,1,0,6,216,3076,747,47,693,7,"t1261","2021-05-02"
"137","ma³opolskie","Nowy S¹cz",1,0.12,0,0,0,0,9,235,62,1,61,0,"t1262","2021-05-02"
"138","ma³opolskie","Tarnów",7,0.65,0,0,0,0,18,346,95,8,86,1,"t1263","2021-05-02"
"139","mazowieckie","bia³obrzeski",1,0.3,0,0,0,0,4,218,18,1,16,1,"t1401","2021-05-02"
"140","mazowieckie","ciechanowski",4,0.45,0,0,0,0,4,170,60,4,56,0,"t1402","2021-05-02"
"141","mazowieckie","garwoliñski",3,0.28,0,0,0,1,20,344,44,3,41,0,"t1403","2021-05-02"
"142","mazowieckie","gostyniñski",3,0.67,0,0,0,0,7,141,24,3,21,0,"t1404","2021-05-02"
"143","mazowieckie","grodziski",4,0.41,0,0,0,1,17,391,83,6,77,0,"t1405","2021-05-02"
"144","mazowieckie","grójecki",5,0.51,0,0,0,0,16,1034,77,6,70,1,"t1406","2021-05-02"
"145","mazowieckie","kozienicki",6,1,0,0,0,3,19,242,37,7,30,0,"t1407","2021-05-02"
"146","mazowieckie","legionowski",7,0.59,0,0,0,0,35,471,72,7,65,0,"t1408","2021-05-02"
"147","mazowieckie","lipski",5,1.48,0,0,0,0,8,234,18,5,13,0,"t1409","2021-05-02"
"148","mazowieckie","³osicki",1,0.33,0,0,0,0,5,71,17,1,16,0,"t1410","2021-05-02"
"149","mazowieckie","makowski",1,0.22,0,0,0,0,8,98,26,1,25,0,"t1411","2021-05-02"
"150","mazowieckie","miñski",10,0.65,0,0,0,3,25,570,128,10,115,3,"t1412","2021-05-02"
"151","mazowieckie","m³awski",2,0.28,0,0,0,0,2,100,35,2,33,0,"t1413","2021-05-02"
"152","mazowieckie","nowodworski",8,1.01,0,0,0,0,20,340,64,9,54,1,"t1414","2021-05-02"
"153","mazowieckie","ostro³êcki",4,0.45,0,0,0,0,19,235,28,4,22,2,"t1415","2021-05-02"
"154","mazowieckie","ostrowski",2,0.28,0,0,0,0,6,164,44,3,41,0,"t1416","2021-05-02"
"155","mazowieckie","otwocki",12,0.96,0,0,0,0,36,568,75,12,61,2,"t1417","2021-05-02"
"156","mazowieckie","piaseczyñski",12,0.63,1,0,1,2,56,1008,150,12,136,2,"t1418","2021-05-02"
"157","mazowieckie","p³ocki",6,0.54,0,0,0,0,3,325,61,6,55,0,"t1419","2021-05-02"
"158","mazowieckie","p³oñski",4,0.46,0,0,0,0,7,658,33,4,29,0,"t1420","2021-05-02"
"159","mazowieckie","pruszkowski",12,0.72,0,0,0,0,44,831,183,14,166,3,"t1421","2021-05-02"
"160","mazowieckie","przasnyski",0,0,0,0,0,2,3,147,31,0,31,0,"t1422","2021-05-02"
"161","mazowieckie","przysuski",3,0.73,0,0,0,0,10,196,16,3,12,1,"t1423","2021-05-02"
"162","mazowieckie","pu³tuski",0,0,0,0,0,0,3,114,35,0,35,0,"t1424","2021-05-02"
"163","mazowieckie","radomski",15,0.99,0,0,0,1,35,546,106,17,89,0,"t1425","2021-05-02"
"164","mazowieckie","siedlecki",2,0.25,0,0,0,0,22,375,37,4,33,0,"t1426","2021-05-02"
"165","mazowieckie","sierpecki",6,1.16,0,0,0,0,10,142,25,6,19,0,"t1427","2021-05-02"
"166","mazowieckie","sochaczewski",3,0.35,0,0,0,0,19,486,56,3,53,0,"t1428","2021-05-02"
"167","mazowieckie","soko³owski",2,0.37,0,0,0,0,10,131,22,3,18,1,"t1429","2021-05-02"
"168","mazowieckie","szyd³owiecki",2,0.51,0,0,0,0,10,187,27,2,25,0,"t1430","2021-05-02"
"169","mazowieckie","warszawski zachodni",11,0.92,0,0,0,0,27,510,111,12,99,0,"t1432","2021-05-02"
"170","mazowieckie","wêgrowski",3,0.46,0,0,0,0,30,332,29,3,26,0,"t1433","2021-05-02"
"171","mazowieckie","wo³omiñski",7,0.28,0,0,0,1,60,1117,134,8,125,1,"t1434","2021-05-02"
"172","mazowieckie","wyszkowski",3,0.4,0,0,0,0,5,173,37,4,31,2,"t1435","2021-05-02"
"173","mazowieckie","zwoleñski",1,0.28,1,0,1,0,11,151,18,3,15,0,"t1436","2021-05-02"
"174","mazowieckie","¿uromiñski",1,0.26,0,0,0,0,5,47,18,1,17,0,"t1437","2021-05-02"
"175","mazowieckie","¿yrardowski",3,0.4,0,0,0,0,10,219,68,4,63,1,"t1438","2021-05-02"
"176","mazowieckie","Ostro³êka",1,0.19,0,0,0,0,7,115,22,1,21,0,"t1461","2021-05-02"
"177","mazowieckie","P³ock",6,0.5,0,0,0,0,23,294,80,6,74,0,"t1462","2021-05-02"
"178","mazowieckie","Radom",31,1.47,0,0,0,0,58,809,175,34,140,1,"t1463","2021-05-02"
"179","mazowieckie","Siedlce",1,0.13,0,0,0,3,29,271,36,1,34,1,"t1464","2021-05-02"
"180","mazowieckie","Warszawa",153,0.85,0,0,0,9,497,7092,1914,165,1740,9,"t1465","2021-05-02"
"181","opolskie","brzeski",1,0.11,0,0,0,0,30,438,29,1,28,0,"t1601","2021-05-02"
"182","opolskie","g³ubczycki",3,0.66,0,0,0,0,11,161,44,3,41,0,"t1602","2021-05-02"
"183","opolskie","kêdzierzyñsko-kozielski",8,0.86,0,0,0,0,52,253,90,9,81,0,"t1603","2021-05-02"
"184","opolskie","kluczborski",8,1.23,0,0,0,0,7,165,58,8,50,0,"t1604","2021-05-02"
"185","opolskie","krapkowicki",1,0.16,0,0,0,0,18,257,114,1,112,1,"t1605","2021-05-02"
"186","opolskie","namys³owski",1,0.23,0,0,0,0,5,208,26,1,25,0,"t1606","2021-05-02"
"187","opolskie","nyski",5,0.37,0,0,0,0,42,511,98,5,93,0,"t1607","2021-05-02"
"188","opolskie","oleski",3,0.47,0,0,0,0,12,173,75,5,70,0,"t1608","2021-05-02"
"189","opolskie","opolski",9,0.73,0,0,0,1,25,580,288,14,274,0,"t1609","2021-05-02"
"190","opolskie","prudnicki",7,1.27,0,0,0,0,10,203,58,8,50,0,"t1610","2021-05-02"
"191","opolskie","strzelecki",4,0.54,0,0,0,0,23,262,164,4,160,0,"t1611","2021-05-02"
"192","opolskie","Opole",12,0.94,0,0,0,0,34,702,147,14,133,0,"t1661","2021-05-02"
"193","podkarpackie","bieszczadzki",0,0,0,0,0,0,4,34,15,0,15,0,"t1801","2021-05-02"
"194","podkarpackie","brzozowski",5,0.76,0,0,0,6,7,146,46,5,41,0,"t1802","2021-05-02"
