"","X","wojewodztwo","liczba_przypadkow","liczba_na_10_tys_mieszkancow","zgony","zgony_w_wyniku_covid_bez_chorob_wspolistniejacych","zgony_w_wyniku_covid_i_chorob_wspolistniejacych","liczba_zlecen_poz","liczba_osob_objetych_kwarantanna","liczba_wykonanych_testow","liczba_testow_z_wynikiem_pozytywnym","liczba_testow_z_wynikiem_negatywnym","liczba_pozostalych_testow","teryt","stan_rekordu_na","liczba_ozdrowiencow"
"1",1,"Cały kraj",10141,2.64,540,55,485,40085,348135,47540,11502,34425,1613,"t00","2020-11-23",NA
"2",18,"Cały kraj",15360,4,674,152,522,23488,341659,54288,16672,36105,1511,"t00","2020-11-24",NA
"3",35,"Cały kraj",16846,4.39,580,78,502,21671,345501,57120,18161,37467,1492,"t00","2020-11-25",NA
"4",52,"Cały kraj",17059,4.45,579,112,467,20906,345333,63763,18247,43628,1888,"t00","2020-11-26",NA
"5",69,"Cały kraj",15183,3.96,599,85,514,20924,332314,60368,16469,42242,1657,"t00","2020-11-27",NA
"6",86,"Cały kraj",11483,2.99,283,46,237,429,316146,37742,12276,24238,1228,"t00","2020-11-28",NA
"7",103,"Cały kraj",5734,1.5,121,21,100,319,294775,23174,6441,16016,717,"t00","2020-11-29",NA
"8",120,"Cały kraj",9066,2.36,449,68,381,32929,284156,44535,10522,32918,1095,"t00","2020-11-30",NA
"9",137,"Cały kraj",13870,3.62,609,89,520,20365,274769,55056,15171,38468,1417,"t00","2020-12-01",NA
"10",154,"Cały kraj",14838,3.87,620,109,511,18901,282408,64452,15979,46709,1764,"t00","2020-12-02",NA
"11",171,"Cały kraj",13230,3.45,531,110,421,17727,285534,56872,14757,40530,1585,"t00","2020-12-03",NA
"12",188,"Cały kraj",12430,3.24,502,104,398,17804,275582,65627,14323,49585,1719,"t00","2020-12-04",NA
"13",205,"Cały kraj",9175,2.39,228,42,186,441,254509,35869,10070,24633,1166,"t00","2020-12-05",NA
"14",222,"Cały kraj",4424,1.15,92,10,82,331,234065,20824,5103,15058,663,"t00","2020-12-06",NA
"15",239,"Cały kraj",8315,2.17,411,94,317,30246,231665,48586,10483,36901,1202,"t00","2020-12-07",NA
"16",256,"Cały kraj",12164,3.17,568,133,435,18088,225269,51537,13353,36964,1220,"t00","2020-12-08",NA
"17",273,"Cały kraj",13747,3.58,470,113,357,17279,232242,55051,14880,38673,1498,"t00","2020-12-09",NA
"18",290,"Cały kraj",13105,3.42,544,132,412,16962,235155,54978,14539,38840,1599,"t00","2020-12-10",NA
"19",307,"Cały kraj",11498,3,502,131,371,17178,227813,54829,13233,40286,1310,"t00","2020-12-11",NA
"20",324,"Cały kraj",8978,2.34,188,49,139,407,210836,37081,10132,25981,968,"t00","2020-12-12",NA
"21",341,"Cały kraj",4858,1.27,96,40,56,308,195342,24994,5944,18464,586,"t00","2020-12-13",NA
"22",358,"Cały kraj",6908,1.8,349,77,272,27615,193924,46647,8974,36805,868,"t00","2020-12-14",NA
"23",375,"Cały kraj",12447,3.25,605,155,450,17318,189322,54467,13646,39592,1229,"t00","2020-12-15",NA
"24",392,"Cały kraj",11953,3.12,431,93,338,16856,197652,51660,12979,37493,1188,"t00","2020-12-16",NA
"25",409,"Cały kraj",10992,2.87,426,122,304,16528,201353,48656,11925,35524,1207,"t00","2020-12-17",NA
"26",426,"Cały kraj",11261,2.94,483,108,375,17661,197565,49598,12241,36177,1180,"t00","2020-12-18",NA
"27",443,"Cały kraj",8593,2.24,143,39,104,656,185321,34297,9232,24187,878,"t00","2020-12-19",NA
"28",460,"Cały kraj",4633,1.21,77,34,43,443,172680,23918,6015,17341,562,"t00","2020-12-20",NA
